name,percentage_male,pokedex_number,sp_attack,sp_defense,speed,type1,type2,weight_kg,generation,is_legendary
Shinx,50,403,40,34,45,electric,,9.5,4,0
Luxio,50,404,60,49,60,electric,,30.5,4,0
Luxray,50,405,95,79,70,electric,,42,4,0
Budew,50,406,50,70,55,grass,poison,1.2,4,0
Roserade,50,407,125,105,90,grass,poison,14.5,4,0
Cranidos,88.1,408,30,30,58,rock,,31.5,4,0
Rampardos,88.1,409,65,50,58,rock,,102.5,4,0
Shieldon,88.1,410,42,88,30,rock,steel,57,4,0
Bastiodon,88.1,411,47,138,30,rock,steel,149.5,4,0
Burmy,50,412,29,45,36,bug,,3.4,4,0
Wormadam,0,413,69,95,36,bug,grass,6.5,4,0
Mothim,100,414,94,50,66,bug,flying,23.3,4,0
Combee,88.1,415,30,42,70,bug,flying,5.5,4,0
Vespiquen,0,416,80,102,40,bug,flying,38.5,4,0
Pachirisu,50,417,45,90,95,electric,,3.9,4,0
Buizel,50,418,60,30,85,water,,29.5,4,0
Floatzel,50,419,85,50,115,water,,33.5,4,0
Cherubi,50,420,62,53,35,grass,,3.3,4,0
Cherrim,50,421,87,78,85,grass,,9.3,4,0
Shellos,50,422,57,62,34,water,,6.3,4,0
Gastrodon,50,423,92,82,39,water,ground,29.9,4,0
Ambipom,50,424,60,66,115,normal,,20.3,4,0
Drifloon,50,425,60,44,70,ghost,flying,1.2,4,0
Drifblim,50,426,90,54,80,ghost,flying,15,4,0
Buneary,50,427,44,56,85,normal,,5.5,4,0
Lopunny,50,428,54,96,135,normal,,33.3,4,0
Mismagius,50,429,105,105,105,ghost,,4.4,4,0
Honchkrow,50,430,105,52,71,dark,flying,27.3,4,0
Glameow,24.6,431,42,37,85,normal,,3.9,4,0
Purugly,24.6,432,64,59,112,normal,,43.8,4,0
Chingling,50,433,65,50,45,psychic,,0.6,4,0
Stunky,50,434,41,41,74,poison,dark,19.2,4,0
Skuntank,50,435,71,61,84,poison,dark,38,4,0
Bronzor,,436,24,86,23,steel,psychic,60.5,4,0
Bronzong,,437,79,116,33,steel,psychic,187,4,0
Bonsly,50,438,10,45,10,rock,,15,4,0
Mime Jr.,50,439,70,90,60,psychic,fairy,13,4,0
Happiny,0,440,15,65,30,normal,,24.4,4,0
Chatot,50,441,92,42,91,normal,flying,1.9,4,0
Spiritomb,50,442,92,108,35,ghost,dark,108,4,0
Gible,50,443,40,45,42,dragon,ground,20.5,4,0
Gabite,50,444,50,55,82,dragon,ground,56,4,0
Garchomp,50,445,120,95,92,dragon,ground,95,4,0
Munchlax,88.1,446,40,85,5,normal,,105,4,0
Riolu,88.1,447,35,40,60,fighting,,20.2,4,0
Lucario,88.1,448,140,70,112,fighting,steel,54,4,0
Hippopotas,50,449,38,42,32,ground,,49.5,4,0
Hippowdon,50,450,68,72,47,ground,,300,4,0
Skorupi,50,451,30,55,65,poison,bug,12,4,0
Drapion,50,452,60,75,95,poison,dark,61.5,4,0
Croagunk,50,453,61,40,50,poison,fighting,23,4,0
Toxicroak,50,454,86,65,85,poison,fighting,44.4,4,0
Carnivine,50,455,90,72,46,grass,,27,4,0
Finneon,50,456,49,61,66,water,,7,4,0
Lumineon,50,457,69,86,91,water,,24,4,0
Mantyke,50,458,60,120,50,water,flying,65,4,0
Snover,50,459,62,60,40,grass,ice,50.5,4,0
Abomasnow,50,460,132,105,30,grass,ice,135.5,4,0
Weavile,50,461,45,85,125,dark,ice,34,4,0
Magnezone,,462,130,90,60,electric,steel,180,4,0
Lickilicky,50,463,80,95,50,normal,,140,4,0
Rhyperior,50,464,55,55,40,ground,rock,282.8,4,0
Tangrowth,50,465,110,50,50,grass,,128.6,4,0
Electivire,75.4,466,95,85,95,electric,,138.6,4,0
Magmortar,75.4,467,125,95,83,fire,,68,4,0
Togekiss,88.1,468,120,115,80,fairy,flying,38,4,0
Yanmega,50,469,116,56,95,bug,flying,51.5,4,0
Leafeon,88.1,470,60,65,95,grass,,25.5,4,0
Glaceon,88.1,471,130,95,65,ice,,25.9,4,0
Gliscor,50,472,45,75,95,ground,flying,42.5,4,0
Mamoswine,50,473,70,60,80,ice,ground,291,4,0
Porygon-Z,,474,135,75,90,normal,,34,4,0
Gallade,100,475,65,115,110,psychic,fighting,52,4,0
Probopass,50,476,75,150,40,rock,steel,340,4,0
Dusknoir,50,477,65,135,45,ghost,,106.6,4,0
Froslass,0,478,80,70,110,ice,ghost,26.6,4,0
Rotom,,479,105,107,86,electric,ghost,0.3,4,0
Uxie,,480,75,130,95,psychic,,0.3,4,1
Mesprit,,481,105,105,80,psychic,,0.3,4,1
Azelf,,482,125,70,115,psychic,,0.3,4,1
Dialga,,483,150,100,90,steel,dragon,683,4,1
Palkia,,484,150,120,100,water,dragon,336,4,1
Heatran,50,485,130,106,77,fire,steel,430,4,1
Regigigas,,486,80,110,100,normal,,420,4,1
Giratina,,487,120,100,90,ghost,dragon,750,4,1
Cresselia,0,488,75,130,85,psychic,,85.6,4,1
Phione,,489,80,80,80,water,,3.1,4,0
Manaphy,,490,100,100,100,water,,1.4,4,1
Darkrai,,491,135,90,125,dark,,50.5,4,1
Shaymin,,492,120,75,127,grass,grass,2.1,4,1
Arceus,,493,120,120,120,normal,,320,4,1
Victini,,494,100,100,100,psychic,fire,4,5,1
Snivy,88.1,495,45,55,63,grass,,8.1,5,0
Servine,88.1,496,60,75,83,grass,,16,5,0
Serperior,88.1,497,75,95,113,grass,,63,5,0
Tepig,88.1,498,45,45,45,fire,,9.9,5,0
Pignite,88.1,499,70,55,55,fire,fighting,55.5,5,0
Emboar,88.1,500,100,65,65,fire,fighting,150,5,0
Oshawott,88.1,501,63,45,45,water,,5.9,5,0
Dewott,88.1,502,83,60,60,water,,24.5,5,0
Samurott,88.1,503,108,70,70,water,,94.6,5,0
Patrat,50,504,35,39,42,normal,,11.6,5,0
Watchog,50,505,60,69,77,normal,,27,5,0
Lillipup,50,506,25,45,55,normal,,4.1,5,0
Herdier,50,507,35,65,60,normal,,14.7,5,0
Stoutland,50,508,45,90,80,normal,,61,5,0
Purrloin,50,509,50,37,66,dark,,10.1,5,0
Liepard,50,510,88,50,106,dark,,37.5,5,0
Pansage,88.1,511,53,48,64,grass,,10.5,5,0
Simisage,88.1,512,98,63,101,grass,,30.5,5,0
Pansear,88.1,513,53,48,64,fire,,11,5,0
Simisear,88.1,514,98,63,101,fire,,28,5,0
Panpour,88.1,515,53,48,64,water,,13.5,5,0
Simipour,88.1,516,98,63,101,water,,29,5,0
Munna,50,517,67,55,24,psychic,,23.3,5,0
Musharna,50,518,107,95,29,psychic,,60.5,5,0
Pidove,50,519,36,30,43,normal,flying,2.1,5,0
Tranquill,50,520,50,42,65,normal,flying,15,5,0
Unfezant,50,521,65,55,93,normal,flying,29,5,0
Blitzle,50,522,50,32,76,electric,,29.8,5,0
Zebstrika,50,523,80,63,116,electric,,79.5,5,0
Roggenrola,50,524,25,25,15,rock,,18,5,0
Boldore,50,525,50,40,20,rock,,102,5,0
Gigalith,50,526,60,80,25,rock,,260,5,0
Woobat,50,527,55,43,72,psychic,flying,2.1,5,0
Swoobat,50,528,77,55,114,psychic,flying,10.5,5,0
Drilbur,50,529,30,45,68,ground,,8.5,5,0
Excadrill,50,530,50,65,88,ground,steel,40.4,5,0
Audino,50,531,80,126,50,normal,,31,5,0
Timburr,75.4,532,25,35,35,fighting,,12.5,5,0
Gurdurr,75.4,533,40,50,40,fighting,,40,5,0
Conkeldurr,75.4,534,55,65,45,fighting,,87,5,0
Tympole,50,535,50,40,64,water,,4.5,5,0
Palpitoad,50,536,65,55,69,water,ground,17,5,0
Seismitoad,50,537,85,75,74,water,ground,62,5,0
Throh,100,538,30,85,45,fighting,,55.5,5,0
Sawk,100,539,30,75,85,fighting,,51,5,0
Sewaddle,50,540,40,60,42,bug,grass,2.5,5,0
Swadloon,50,541,50,80,42,bug,grass,7.3,5,0
Leavanny,50,542,70,80,92,bug,grass,20.5,5,0
Venipede,50,543,30,39,57,bug,poison,5.3,5,0
Whirlipede,50,544,40,79,47,bug,poison,58.5,5,0
Scolipede,50,545,55,69,112,bug,poison,200.5,5,0
Cottonee,50,546,37,50,66,grass,fairy,0.6,5,0
Whimsicott,50,547,77,75,116,grass,fairy,6.6,5,0
Petilil,0,548,70,50,30,grass,,6.6,5,0
Lilligant,0,549,110,75,90,grass,,16.3,5,0
Basculin,50,550,80,55,98,water,,18,5,0
Sandile,50,551,35,35,65,ground,dark,15.2,5,0
Krokorok,50,552,45,45,74,ground,dark,33.4,5,0
Krookodile,50,553,65,70,92,ground,dark,96.3,5,0
Darumaka,50,554,15,45,50,fire,,37.5,5,0
Darmanitan,50,555,140,105,55,fire,fire,92.9,5,0
Maractus,50,556,106,67,60,grass,,28,5,0
Dwebble,50,557,35,35,55,bug,rock,14.5,5,0
Crustle,50,558,65,75,45,bug,rock,200,5,0
Scraggy,50,559,35,70,48,dark,fighting,11.8,5,0
Scrafty,50,560,45,115,58,dark,fighting,30,5,0
Sigilyph,50,561,103,80,97,psychic,flying,14,5,0
Yamask,50,562,55,65,30,ghost,,1.5,5,0
Cofagrigus,50,563,95,105,30,ghost,,76.5,5,0
Tirtouga,88.1,564,53,45,22,water,rock,16.5,5,0
Carracosta,88.1,565,83,65,32,water,rock,81,5,0
Archen,88.1,566,74,45,70,rock,flying,9.5,5,0
Archeops,88.1,567,112,65,110,rock,flying,32,5,0
Trubbish,50,568,40,62,65,poison,,31,5,0
Garbodor,50,569,60,82,75,poison,,107.3,5,0
Zorua,88.1,570,80,40,65,dark,,12.5,5,0
Zoroark,88.1,571,120,60,105,dark,,81.1,5,0
Minccino,24.6,572,40,40,75,normal,,5.8,5,0
Cinccino,24.6,573,65,60,115,normal,,7.5,5,0
Gothita,24.6,574,55,65,45,psychic,,5.8,5,0
Gothorita,24.6,575,75,85,55,psychic,,18,5,0
Gothitelle,24.6,576,95,110,65,psychic,,44,5,0
Solosis,50,577,105,50,20,psychic,,1,5,0
Duosion,50,578,125,60,30,psychic,,8,5,0
Reuniclus,50,579,125,85,30,psychic,,20.1,5,0
Ducklett,50,580,44,50,55,water,flying,5.5,5,0
Swanna,50,581,87,63,98,water,flying,24.2,5,0
Vanillite,50,582,65,60,44,ice,,5.7,5,0
Vanillish,50,583,80,75,59,ice,,41,5,0
Vanilluxe,50,584,110,95,79,ice,,57.5,5,0
Deerling,50,585,40,50,75,normal,grass,19.5,5,0
Sawsbuck,50,586,60,70,95,normal,grass,92.5,5,0
Emolga,50,587,75,60,103,electric,flying,5,5,0
Karrablast,50,588,40,45,60,bug,,5.9,5,0
Escavalier,50,589,60,105,20,bug,steel,33,5,0
Foongus,50,590,55,55,15,grass,poison,1,5,0
Amoonguss,50,591,85,80,30,grass,poison,10.5,5,0
Frillish,50,592,65,85,40,water,ghost,33,5,0
Jellicent,50,593,85,105,60,water,ghost,135,5,0
Alomomola,50,594,40,45,65,water,,31.6,5,0
Joltik,50,595,57,50,65,bug,electric,0.6,5,0
Galvantula,50,596,97,60,108,bug,electric,14.3,5,0
Ferroseed,50,597,24,86,10,grass,steel,18.8,5,0
Ferrothorn,50,598,54,116,20,grass,steel,110,5,0
Klink,,599,45,60,30,steel,,21,5,0
Klang,,600,70,85,50,steel,,51,5,0
Klinklang,,601,70,85,90,steel,,81,5,0
Tynamo,50,602,45,40,60,electric,,0.3,5,0
Eelektrik,50,603,75,70,40,electric,,22,5,0
Eelektross,50,604,105,80,50,electric,,80.5,5,0
Elgyem,50,605,85,55,30,psychic,,9,5,0
Beheeyem,50,606,125,95,40,psychic,,34.5,5,0
Litwick,50,607,65,55,20,ghost,fire,3.1,5,0
Lampent,50,608,95,60,55,ghost,fire,13,5,0
Chandelure,50,609,145,90,80,ghost,fire,34.3,5,0
Axew,50,610,30,40,57,dragon,,18,5,0
Fraxure,50,611,40,50,67,dragon,,36,5,0
Haxorus,50,612,60,70,97,dragon,,105.5,5,0
Cubchoo,50,613,60,40,40,ice,,8.5,5,0
Beartic,50,614,70,80,50,ice,,260,5,0
Cryogonal,,615,95,135,105,ice,,148,5,0
Shelmet,50,616,40,65,25,bug,,7.7,5,0
Accelgor,50,617,100,60,145,bug,,25.3,5,0
Stunfisk,50,618,81,99,32,ground,electric,11,5,0
Mienfoo,50,619,55,50,65,fighting,,20,5,0
Mienshao,50,620,95,60,105,fighting,,35.5,5,0
Druddigon,50,621,60,90,48,dragon,,139,5,0
Golett,,622,35,50,35,ground,ghost,92,5,0
Golurk,,623,55,80,55,ground,ghost,330,5,0
Pawniard,50,624,40,40,60,dark,steel,10.2,5,0
Bisharp,50,625,60,70,70,dark,steel,70,5,0
Bouffalant,50,626,40,95,55,normal,,94.6,5,0
Rufflet,100,627,37,50,60,normal,flying,10.5,5,0
Braviary,100,628,57,75,80,normal,flying,41,5,0
Vullaby,0,629,45,65,60,dark,flying,9,5,0
Mandibuzz,0,630,55,95,80,dark,flying,39.5,5,0
Heatmor,50,631,105,66,65,fire,,58,5,0
Durant,50,632,48,48,109,bug,steel,33,5,0
Deino,50,633,45,50,38,dark,dragon,17.3,5,0
Zweilous,50,634,65,70,58,dark,dragon,50,5,0
Hydreigon,50,635,125,90,98,dark,dragon,160,5,0
Larvesta,50,636,50,55,60,bug,fire,28.8,5,0
Volcarona,50,637,135,105,100,bug,fire,46,5,0
Cobalion,,638,90,72,108,steel,fighting,250,5,1
Terrakion,,639,72,90,108,rock,fighting,260,5,1
Virizion,,640,90,129,108,grass,fighting,200,5,1
Tornadus,100,641,110,90,121,flying,,63,5,1
Thundurus,100,642,145,80,101,electric,flying,61,5,1
Reshiram,,643,150,120,90,dragon,fire,330,5,1
Zekrom,,644,120,100,90,dragon,electric,345,5,1
Landorus,100,645,105,80,91,ground,flying,68,5,1
Kyurem,,646,170,100,95,dragon,ice,325,5,1
Keldeo,,647,129,90,108,water,fighting,48.5,5,1
Meloetta,,648,77,77,128,normal,psychic,6.5,5,1
Genesect,,649,120,95,99,bug,steel,82.5,5,1
Chespin,88.1,650,48,45,38,grass,,9,6,0
Quilladin,88.1,651,56,58,57,grass,,29,6,0
Chesnaught,88.1,652,74,75,64,grass,fighting,90,6,0
Fennekin,88.1,653,62,60,60,fire,,9.4,6,0
Braixen,88.1,654,90,70,73,fire,,14.5,6,0
Delphox,88.1,655,114,100,104,fire,psychic,39,6,0
Froakie,88.1,656,62,44,71,water,,7,6,0
Frogadier,88.1,657,83,56,97,water,,10.9,6,0
Greninja,88.1,658,153,71,132,water,dark,40,6,0
Bunnelby,50,659,32,36,57,normal,,5,6,0
Diggersby,50,660,50,77,78,normal,ground,42.4,6,0
Fletchling,50,661,40,38,62,normal,flying,1.7,6,0
Fletchinder,50,662,56,52,84,fire,flying,16,6,0
Talonflame,50,663,74,69,126,fire,flying,24.5,6,0
Scatterbug,50,664,27,25,35,bug,,2.5,6,0
Spewpa,50,665,27,30,29,bug,,8.4,6,0
Vivillon,50,666,90,50,89,bug,flying,17,6,0
Litleo,11.2,667,73,54,72,fire,normal,13.5,6,0
Pyroar,11.2,668,109,66,106,fire,normal,81.5,6,0
Flabébé,0,669,61,79,42,fairy,,0.1,6,0
Floette,0,670,125,128,92,fairy,,0.9,6,0
Florges,0,671,112,154,75,fairy,,10,6,0
Skiddo,50,672,62,57,52,grass,,31,6,0
Gogoat,50,673,97,81,68,grass,,91,6,0
Pancham,50,674,46,48,43,fighting,,8,6,0
Pangoro,50,675,69,71,58,fighting,dark,136,6,0
Furfrou,50,676,65,90,102,normal,,28,6,0
Espurr,50,677,63,60,68,psychic,,3.5,6,0
Meowstic,50,678,83,81,104,psychic,,8.5,6,0
Honedge,50,679,35,37,28,steel,ghost,2,6,0
Doublade,50,680,45,49,35,steel,ghost,4.5,6,0
Aegislash,50,681,150,50,60,steel,ghost,53,6,0
Spritzee,50,682,63,65,23,fairy,,0.5,6,0
Aromatisse,50,683,99,89,29,fairy,,15.5,6,0
Swirlix,50,684,59,57,49,fairy,,3.5,6,0
Slurpuff,50,685,85,75,72,fairy,,5,6,0
Inkay,50,686,37,46,45,dark,psychic,3.5,6,0
Malamar,50,687,68,75,73,dark,psychic,47,6,0
Binacle,50,688,39,56,50,rock,water,31,6,0
Barbaracle,50,689,54,86,68,rock,water,96,6,0
Skrelp,50,690,60,60,30,poison,water,7.3,6,0
Dragalge,50,691,97,123,44,poison,dragon,81.5,6,0
Clauncher,50,692,58,63,44,water,,8.3,6,0
Clawitzer,50,693,120,89,59,water,,35.3,6,0
Helioptile,50,694,61,43,70,electric,normal,6,6,0
Heliolisk,50,695,109,94,109,electric,normal,21,6,0
Tyrunt,88.1,696,45,45,48,rock,dragon,26,6,0
Tyrantrum,88.1,697,69,59,71,rock,dragon,270,6,0
Amaura,88.1,698,67,63,46,rock,ice,25.2,6,0
Aurorus,88.1,699,99,92,58,rock,ice,225,6,0
Sylveon,88.1,700,110,130,60,fairy,,23.5,6,0
Hawlucha,50,701,74,63,118,fighting,flying,21.5,6,0
Dedenne,50,702,81,67,101,electric,fairy,2.2,6,0
Carbink,,703,50,150,50,rock,fairy,5.7,6,0
Goomy,50,704,55,75,40,dragon,,2.8,6,0
Sliggoo,50,705,83,113,60,dragon,,17.5,6,0
Goodra,50,706,110,150,80,dragon,,150.5,6,0
Klefki,50,707,80,87,75,steel,fairy,3,6,0
Phantump,50,708,50,60,38,ghost,grass,7,6,0
Trevenant,50,709,65,82,56,ghost,grass,71,6,0
Pumpkaboo,50,710,44,55,41,ghost,grass,15,6,0
Gourgeist,50,711,58,75,54,ghost,grass,39,6,0
Bergmite,50,712,32,35,28,ice,,99.5,6,0
Avalugg,50,713,44,46,28,ice,,505,6,0
Noibat,50,714,45,40,55,flying,dragon,8,6,0
Noivern,50,715,97,80,123,flying,dragon,85,6,0
Xerneas,,716,131,98,99,fairy,,215,6,1
Yveltal,,717,131,98,99,dark,flying,203,6,1
Zygarde,,718,91,95,85,dragon,ground,284.6,6,1
Diancie,,719,160,110,110,rock,fairy,8.8,6,1
Hoopa,,720,170,130,80,psychic,ghost,,6,1
Volcanion,,721,130,90,70,fire,water,195,6,1
Rowlet,88.1,722,50,50,42,grass,flying,1.5,7,0
Dartrix,88.1,723,70,70,52,grass,flying,16,7,0
Decidueye,88.1,724,100,100,70,grass,ghost,36.6,7,0
Litten,88.1,725,60,40,70,fire,,4.3,7,0
Torracat,88.1,726,80,50,90,fire,,25,7,0
Incineroar,88.1,727,80,90,60,fire,dark,83,7,0
Popplio,88.1,728,66,56,40,water,,7.5,7,0
Brionne,88.1,729,91,81,50,water,,17.5,7,0
Primarina,88.1,730,126,116,60,water,fairy,44,7,0
Pikipek,50,731,30,30,65,normal,flying,1.2,7,0
Trumbeak,50,732,40,50,75,normal,flying,14.8,7,0
Toucannon,50,733,75,75,60,normal,flying,26,7,0
Yungoos,50,734,30,30,45,normal,,6,7,0
Gumshoos,50,735,55,60,45,normal,,14.2,7,0
Grubbin,50,736,55,45,46,bug,,4.4,7,0
Charjabug,50,737,55,75,36,bug,electric,10.5,7,0
Vikavolt,50,738,145,75,43,bug,electric,45,7,0
Crabrawler,50,739,42,47,63,fighting,,7,7,0
Crabominable,50,740,62,67,43,fighting,ice,180,7,0
Oricorio,24.6,741,98,70,93,fire,flying,3.4,7,0
Cutiefly,50,742,55,40,84,bug,fairy,0.2,7,0
Ribombee,50,743,95,70,124,bug,fairy,0.5,7,0
Rockruff,50,744,30,40,60,rock,,9.2,7,0
Lycanroc,50,745,55,75,82,rock,,,7,0
Wishiwashi,50,746,140,135,30,water,,0.3,7,0
Mareanie,50,747,43,52,45,poison,water,8,7,0
Toxapex,50,748,53,142,35,poison,water,14.5,7,0
Mudbray,50,749,45,55,45,ground,,110,7,0
Mudsdale,50,750,55,85,35,ground,,920,7,0
Dewpider,50,751,40,72,27,water,bug,4,7,0
Araquanid,50,752,50,132,42,water,bug,82,7,0
Fomantis,50,753,50,35,35,grass,,1.5,7,0
Lurantis,50,754,80,90,45,grass,,18.5,7,0
Morelull,50,755,65,75,15,grass,fairy,1.5,7,0
Shiinotic,50,756,90,100,30,grass,fairy,11.5,7,0
Salandit,88.1,757,71,40,77,poison,fire,4.8,7,0
Salazzle,0,758,111,60,117,poison,fire,22.2,7,0
Stufful,50,759,45,50,50,normal,fighting,6.8,7,0
Bewear,50,760,55,60,60,normal,fighting,135,7,0
Bounsweet,0,761,30,38,32,grass,,3.2,7,0
Steenee,0,762,40,48,62,grass,,8.2,7,0
Tsareena,0,763,50,98,72,grass,,21.4,7,0
Comfey,24.6,764,82,110,100,fairy,,0.3,7,0
Oranguru,50,765,90,110,60,normal,psychic,76,7,0
Passimian,50,766,40,60,80,fighting,,82.8,7,0
Wimpod,50,767,20,30,80,bug,water,12,7,0
Golisopod,50,768,60,90,40,bug,water,108,7,0
Sandygast,50,769,70,45,15,ghost,ground,70,7,0
Palossand,50,770,100,75,35,ghost,ground,250,7,0
Pyukumuku,50,771,30,130,5,water,,1.2,7,0
Type: Null,,772,95,95,59,normal,,120.5,7,0
Silvally,,773,95,95,95,normal,,100.5,7,0
Minior,,774,100,60,120,rock,flying,40,7,0
Komala,50,775,75,95,65,normal,,19.9,7,0
Turtonator,50,776,91,85,36,fire,dragon,212,7,0
Togedemaru,50,777,40,73,96,electric,steel,3.3,7,0
Mimikyu,50,778,50,105,96,ghost,fairy,0.7,7,0
Bruxish,50,779,70,70,92,water,psychic,19,7,0
Drampa,50,780,135,91,36,normal,dragon,185,7,0
Dhelmise,,781,86,90,40,ghost,grass,210,7,0
Jangmo-o,50,782,45,45,45,dragon,,29.7,7,0
Hakamo-o,50,783,65,70,65,dragon,fighting,47,7,0
Kommo-o,50,784,100,105,85,dragon,fighting,78.2,7,0
Tapu Koko,,785,95,75,130,electric,fairy,20.5,7,1
Tapu Lele,,786,130,115,95,psychic,fairy,18.6,7,1
Tapu Bulu,,787,85,95,75,grass,fairy,45.5,7,1
Tapu Fini,,788,95,130,85,water,fairy,21.2,7,1
Cosmog,,789,29,31,37,psychic,,0.1,7,1
Cosmoem,,790,29,131,37,psychic,,999.9,7,1
Solgaleo,,791,113,89,97,psychic,steel,230,7,1
Lunala,,792,137,107,97,psychic,ghost,120,7,1
Nihilego,,793,127,131,103,rock,poison,55.5,7,1
Buzzwole,,794,53,53,79,bug,fighting,333.6,7,1
Pheromosa,,795,137,37,151,bug,fighting,25,7,1
Xurkitree,,796,173,71,83,electric,,100,7,1
Celesteela,,797,107,101,61,steel,flying,999.9,7,1
Kartana,,798,59,31,109,grass,steel,0.1,7,1
Guzzlord,,799,97,53,43,dark,dragon,888,7,1
Necrozma,,800,127,89,79,psychic,,230,7,1
Magearna,,801,130,115,65,steel,fairy,80.5,7,1
